"","scenario_year","eco_coast_gdp_year","X","rgn_id","rgn_name","gdp_growth_rate","status"
"1",2005,2008,25,5,"Connecticut",0.0524468159867093,1
"2",2005,2008,26,6,"Maine",-0.0486181942257891,0.761763047800639
"3",2005,2008,27,10,"New York",0.0754163651795157,1
"4",2005,2008,28,11,"Rhode Island",-0.0261552485571822,0.829832580129751
"5",2005,2008,29,7,"Massachusetts-North",0.00281830625206081,0.917631231066851
"6",2005,2008,30,8,"Massachusetts-South",-0.0505352092138246,0.755953911473259
"7",2005,2008,31,9,"New Hampshire",-0.232602513561497,0.204234807389403
"8",2005,2008,32,12,"Northeast",0.0414252769809236,1
"9",2005,2008,109,1,"Offshore",NA,NA
"10",2005,2008,110,2,"Georges Bank",NA,NA
"11",2005,2008,111,3,"Gulf of Maine",NA,NA
"12",2005,2008,112,4,"Mid-Atlantic Bight",NA,NA
"13",2006,2008,25,5,"Connecticut",0.0524468159867093,1
"14",2006,2008,26,6,"Maine",-0.0486181942257891,0.761763047800639
"15",2006,2008,27,10,"New York",0.0754163651795157,1
"16",2006,2008,28,11,"Rhode Island",-0.0261552485571822,0.829832580129751
"17",2006,2008,29,7,"Massachusetts-North",0.00281830625206081,0.917631231066851
"18",2006,2008,30,8,"Massachusetts-South",-0.0505352092138246,0.755953911473259
"19",2006,2008,31,9,"New Hampshire",-0.232602513561497,0.204234807389403
"20",2006,2008,32,12,"Northeast",0.0414252769809236,1
"21",2006,2008,109,1,"Offshore",NA,NA
"22",2006,2008,110,2,"Georges Bank",NA,NA
"23",2006,2008,111,3,"Gulf of Maine",NA,NA
"24",2006,2008,112,4,"Mid-Atlantic Bight",NA,NA
"25",2007,2008,25,5,"Connecticut",0.0524468159867093,1
"26",2007,2008,26,6,"Maine",-0.0486181942257891,0.761763047800639
"27",2007,2008,27,10,"New York",0.0754163651795157,1
"28",2007,2008,28,11,"Rhode Island",-0.0261552485571822,0.829832580129751
"29",2007,2008,29,7,"Massachusetts-North",0.00281830625206081,0.917631231066851
"30",2007,2008,30,8,"Massachusetts-South",-0.0505352092138246,0.755953911473259
"31",2007,2008,31,9,"New Hampshire",-0.232602513561497,0.204234807389403
"32",2007,2008,32,12,"Northeast",0.0414252769809236,1
"33",2007,2008,109,1,"Offshore",NA,NA
"34",2007,2008,110,2,"Georges Bank",NA,NA
"35",2007,2008,111,3,"Gulf of Maine",NA,NA
"36",2007,2008,112,4,"Mid-Atlantic Bight",NA,NA
"37",2008,2008,25,5,"Connecticut",0.0524468159867093,1
"38",2008,2008,26,6,"Maine",-0.0486181942257891,0.761763047800639
"39",2008,2008,27,10,"New York",0.0754163651795157,1
"40",2008,2008,28,11,"Rhode Island",-0.0261552485571822,0.829832580129751
"41",2008,2008,29,7,"Massachusetts-North",0.00281830625206081,0.917631231066851
"42",2008,2008,30,8,"Massachusetts-South",-0.0505352092138246,0.755953911473259
"43",2008,2008,31,9,"New Hampshire",-0.232602513561497,0.204234807389403
"44",2008,2008,32,12,"Northeast",0.0414252769809236,1
"45",2008,2008,109,1,"Offshore",NA,NA
"46",2008,2008,110,2,"Georges Bank",NA,NA
"47",2008,2008,111,3,"Gulf of Maine",NA,NA
"48",2008,2008,112,4,"Mid-Atlantic Bight",NA,NA
"49",2009,2009,33,5,"Connecticut",0.0657773621887747,1
"50",2009,2009,34,6,"Maine",-0.0900390028107998,0.636245446027879
"51",2009,2009,35,10,"New York",0.00611199094439474,0.927612093770893
"52",2009,2009,36,11,"Rhode Island",-0.0771996435023453,0.675152595447438
"53",2009,2009,37,7,"Massachusetts-North",-0.034677501473931,0.804007571291118
"54",2009,2009,38,8,"Massachusetts-South",0.0842119659868643,1
"55",2009,2009,39,9,"New Hampshire",-0.173722816637148,0.382658131402582
"56",2009,2009,40,12,"Northeast",-0.00136820073622512,0.904944846253863
"57",2009,2009,113,1,"Offshore",NA,NA
"58",2009,2009,114,2,"Georges Bank",NA,NA
"59",2009,2009,115,3,"Gulf of Maine",NA,NA
"60",2009,2009,116,4,"Mid-Atlantic Bight",NA,NA
"61",2010,2010,41,5,"Connecticut",0.0677675338218606,1
"62",2010,2010,42,6,"Maine",0.0183127708746387,0.964584154165572
"63",2010,2010,43,10,"New York",0.0525306975786877,1
"64",2010,2010,44,11,"Rhode Island",0.0265346518227734,0.989498944917495
"65",2010,2010,45,7,"Massachusetts-North",0.0435621284964132,1
"66",2010,2010,46,8,"Massachusetts-South",-0.0271205035469564,0.826907565009223
"67",2010,2010,47,9,"New Hampshire",-0.0566108355017507,0.737542922721968
"68",2010,2010,48,12,"Northeast",0.0449918833763985,1
"69",2010,2010,117,1,"Offshore",NA,NA
"70",2010,2010,118,2,"Georges Bank",NA,NA
"71",2010,2010,119,3,"Gulf of Maine",NA,NA
"72",2010,2010,120,4,"Mid-Atlantic Bight",NA,NA
"73",2011,2011,49,5,"Connecticut",0.0112682861341684,0.943237230709601
"74",2011,2011,50,6,"Maine",0.0443781463786166,1
"75",2011,2011,51,10,"New York",0.102581508296,1
"76",2011,2011,52,11,"Rhode Island",0.0450367348775027,1
"77",2011,2011,53,7,"Massachusetts-North",0.268803216418363,1
"78",2011,2011,54,8,"Massachusetts-South",-0.231312529416306,0.208143850253618
"79",2011,2011,55,9,"New Hampshire",0.124202985845201,1
"80",2011,2011,56,12,"Northeast",0.0820525141713535,1
"81",2011,2011,121,1,"Offshore",NA,NA
"82",2011,2011,122,2,"Georges Bank",NA,NA
"83",2011,2011,123,3,"Gulf of Maine",NA,NA
"84",2011,2011,124,4,"Mid-Atlantic Bight",NA,NA
"85",2012,2012,57,5,"Connecticut",0.0512582108931914,1
"86",2012,2012,58,6,"Maine",0.0451437518611375,1
"87",2012,2012,59,10,"New York",0.11623212424921,1
"88",2012,2012,60,11,"Rhode Island",0.0800396991748447,1
"89",2012,2012,61,7,"Massachusetts-North",0.200536468152708,1
"90",2012,2012,62,8,"Massachusetts-South",-0.168282234282025,0.399144744599924
"91",2012,2012,63,9,"New Hampshire",0.201210306127175,1
"92",2012,2012,64,12,"Northeast",0.0977412161648648,1
"93",2012,2012,125,1,"Offshore",NA,NA
"94",2012,2012,126,2,"Georges Bank",NA,NA
"95",2012,2012,127,3,"Gulf of Maine",NA,NA
"96",2012,2012,128,4,"Mid-Atlantic Bight",NA,NA
"97",2013,2013,65,5,"Connecticut",-0.00922986586889485,0.881121618579107
"98",2013,2013,66,6,"Maine",0.0136703754381229,0.950516289206433
"99",2013,2013,67,10,"New York",0.130558494673756,1
"100",2013,2013,68,11,"Rhode Island",0.0949790498205367,1
"101",2013,2013,69,7,"Massachusetts-North",0.0857373147628193,1
"102",2013,2013,70,8,"Massachusetts-South",-0.0784008836838951,0.671512473685166
"103",2013,2013,71,9,"New Hampshire",0.177752966944571,1
"104",2013,2013,72,12,"Northeast",0.0943562347911513,1
"105",2013,2013,129,1,"Offshore",NA,NA
"106",2013,2013,130,2,"Georges Bank",NA,NA
"107",2013,2013,131,3,"Gulf of Maine",NA,NA
"108",2013,2013,132,4,"Mid-Atlantic Bight",NA,NA
"109",2014,2014,73,5,"Connecticut",-0.0591911362072516,0.729723829674995
"110",2014,2014,74,6,"Maine",0.0446902454912421,1
"111",2014,2014,75,10,"New York",0.0496234110762483,1
"112",2014,2014,76,11,"Rhode Island",0.0388616502088961,1
"113",2014,2014,77,7,"Massachusetts-North",0.0776633576937886,1
"114",2014,2014,78,8,"Massachusetts-South",0.0540153101241265,1
"115",2014,2014,79,9,"New Hampshire",0.122843116647587,1
"116",2014,2014,80,12,"Northeast",0.0397578185495515,1
"117",2014,2014,133,1,"Offshore",NA,NA
"118",2014,2014,134,2,"Georges Bank",NA,NA
"119",2014,2014,135,3,"Gulf of Maine",NA,NA
"120",2014,2014,136,4,"Mid-Atlantic Bight",NA,NA
"121",2015,2015,81,5,"Connecticut",0.0507489662902061,1
"122",2015,2015,82,6,"Maine",0.0613838780045923,1
"123",2015,2015,83,10,"New York",0.0236767800644373,0.980838727467992
"124",2015,2015,84,11,"Rhode Island",0.083003521705735,1
"125",2015,2015,85,7,"Massachusetts-North",0.121049656799074,1
"126",2015,2015,86,8,"Massachusetts-South",0.458426795533216,1
"127",2015,2015,87,9,"New Hampshire",0.17102099071915,1
"128",2015,2015,88,12,"Northeast",0.0548550879875094,1
"129",2015,2015,137,1,"Offshore",NA,NA
"130",2015,2015,138,2,"Georges Bank",NA,NA
"131",2015,2015,139,3,"Gulf of Maine",NA,NA
"132",2015,2015,140,4,"Mid-Atlantic Bight",NA,NA
"133",2016,2016,89,5,"Connecticut",0.0186505192564379,0.965607634110418
"134",2016,2016,90,6,"Maine",0.0420401551875649,1
"135",2016,2016,91,10,"New York",-0.000787030497873875,0.906705968188261
"136",2016,2016,92,11,"Rhode Island",0.0616369494850777,1
"137",2016,2016,93,7,"Massachusetts-North",0.09428780474465,1
"138",2016,2016,94,8,"Massachusetts-South",0.149347835501162,1
"139",2016,2016,95,9,"New Hampshire",0.0245033327276798,0.983343432508121
"140",2016,2016,96,12,"Northeast",0.020946810425539,0.972566092198603
"141",2017,2016,89,5,"Connecticut",0.0186505192564379,0.965607634110418
"142",2017,2016,90,6,"Maine",0.0420401551875649,1
"143",2017,2016,91,10,"New York",-0.000787030497873875,0.906705968188261
"144",2017,2016,92,11,"Rhode Island",0.0616369494850777,1
"145",2017,2016,93,7,"Massachusetts-North",0.09428780474465,1
"146",2017,2016,94,8,"Massachusetts-South",0.149347835501162,1
"147",2017,2016,95,9,"New Hampshire",0.0245033327276798,0.983343432508121
"148",2017,2016,96,12,"Northeast",0.020946810425539,0.972566092198603
