Year,Region,Species,pounds
2015,Rhode Island,Hard Clam,4732.5
2014,Rhode Island,Hard Clam,4732.5
2013,Rhode Island,Hard Clam,3850
2012,Rhode Island,Hard Clam,8142.5
2011,Rhode Island,Hard Clam,5840
2008,Rhode Island,Hard Clam,2515
2009,Rhode Island,Hard Clam,5200
2007,Rhode Island,Hard Clam,3419.5
2006,Rhode Island,Hard Clam,8450
2005,Rhode Island,Hard Clam,3274.5
2004,Rhode Island,Hard Clam,2304.8
2003,Rhode Island,Hard Clam,3772.7
2002,Rhode Island,Hard Clam,13819.9
2001,Rhode Island,Hard Clam,12219.6
2000,Rhode Island,Hard Clam,8800
1999,Rhode Island,Hard Clam,25000
2017,Connecticut,Hard Clam,6502880.947976952
2016,Connecticut,Hard Clam,7763951.937888385
2010,Connecticut,Hard Clam,8931173.928550608
2009,Connecticut,Hard Clam,10278701.917770386
2008,Connecticut,Hard Clam,10744838.91404129
2007,Connecticut,Hard Clam,10281599.917747201
2006,Connecticut,Hard Clam,8876069.92899144
2005,Connecticut,Hard Clam,8831108.929351129
2004,Connecticut,Hard Clam,8477657.932178738
2003,Connecticut,Hard Clam,20492759.59014481
2002,Connecticut,Hard Clam,17174219.656515606
2001,Connecticut,Hard Clam,16908659.661826808
2000,Connecticut,Hard Clam,20105039.59789921
1999,Connecticut,Hard Clam,7799999.844000003
1998,Connecticut,Hard Clam,7712639.845747204
1997,Connecticut,Hard Clam,14446079.711078405
1996,Connecticut,Hard Clam,3145379.9370924016
1995,Connecticut,Hard Clam,3135419.937291601
1994,Connecticut,Hard Clam,11573459.768530805
1993,Connecticut,Hard Clam,9464099.810718004
1992,Connecticut,Hard Clam,8806379.823872404
1991,Connecticut,Hard Clam,9241559.815168804
1990,Connecticut,Hard Clam,8774999.824500004
2016,Massachusetts,Hard Clam,555464.1
2017,Massachusetts,Hard Clam,442918.4
2015,Massachusetts,Hard Clam,651152
2014,Massachusetts,Hard Clam,1409
2011,Massachusetts,Hard Clam,1103879.9779224005
2010,Massachusetts,Hard Clam,958979.9808204004
2017,Rhode Island,Hard Clam,7100
2016,Rhode Island,Hard Clam,7050
1990,New York,Hard Clam,4050599.9189880015
1991,New York,Hard Clam,4022879.9195424016
1992,New York,Hard Clam,4127519.917449602
1993,New York,Hard Clam,4486799.910264002
1994,New York,Hard Clam,4831679.903366402
1995,New York,Hard Clam,6383819.872323602
1996,New York,Hard Clam,6172379.876552403
1997,New York,Hard Clam,7233359.855332803
1998,New York,Hard Clam,5566679.888666403
1999,New York,Hard Clam,6573959.868520803
2000,New York,Hard Clam,4614179.907716402
2001,New York,Hard Clam,3648539.9270292018
2002,New York,Hard Clam,3178919.9364216016
2003,New York,Hard Clam,4504319.909913602
2004,New York,Hard Clam,4639319.907213602
2005,New York,Hard Clam,5687339.886253202
2006,New York,Hard Clam,6139079.877218403
2007,New York,Hard Clam,6947399.861052003
2008,New York,Hard Clam,6249059.8750188025
2009,New York,Hard Clam,5611379.887772403
2010,New York,Hard Clam,4647719.907045602
2011,New York,Hard Clam,3962039.9207592015
2012,New York,Hard Clam,5452859.890942803
2013,New York,Hard Clam,9405599.811888004
2014,New York,Hard Clam,9252299.814954003
2015,New York,Hard Clam,8313959.833720803
2016,New York,Hard Clam,9320279.813594405
2017,New York,Hard Clam,7351619.852967603
2005,Maine,Oysters,1941538
2006,Maine,Oysters,3143428
2007,Maine,Oysters,2652865
2008,Maine,Oysters,3624787
2009,Maine,Oysters,2559594
2010,Maine,Oysters,2960326
2011,Maine,Oysters,1791401
2012,Maine,Oysters,2419452
2013,Maine,Oysters,4582637
2014,Maine,Oysters,5023530
2015,Maine,Oysters,7600314
2016,Maine,Oysters,8804391
2015,Rhode Island,Oysters,3507400.9280561185
2014,Rhode Island,Oysters,3199983.9680512
2013,Rhode Island,Oysters,2713167.0960434107
2012,Rhode Island,Oysters,1824847.6640291975
2011,Rhode Island,Oysters,1727454.8640276394
2008,Rhode Island,Oysters,1136335.2640181815
2009,Rhode Island,Oysters,1196174.3840191388
2007,Rhode Island,Oysters,1081833.0320173095
2006,Rhode Island,Oysters,999680.0640159949
2005,Rhode Island,Oysters,649065.5600103851
2004,Rhode Island,Oysters,482816.43200772506
2003,Rhode Island,Oysters,493361.7360078938
2002,Rhode Island,Oysters,384992.0000061599
2001,Rhode Island,Oysters,230646.67200369036
2000,Rhode Island,Oysters,233200.0000037312
1999,Rhode Island,Oysters,148400.0000023744
2010,Connecticut,Oysters,13205999.735880006
2009,Connecticut,Oysters,11225759.775484804
2008,Connecticut,Oysters,9678299.806434004
2007,Connecticut,Oysters,8099999.838000003
2006,Connecticut,Oysters,3171059.9365788014
2005,Connecticut,Oysters,1382459.9723508006
2004,Connecticut,Oysters,1446959.9710608006
2003,Connecticut,Oysters,2173679.956526401
2002,Connecticut,Oysters,1922099.9615580009
2001,Connecticut,Oysters,3379499.9324100013
2000,Connecticut,Oysters,4860899.9027820025
1999,Connecticut,Oysters,10199999.796000004
1998,Connecticut,Oysters,10773719.784525605
1997,Connecticut,Oysters,11777579.764448404
1996,Connecticut,Oysters,31548539.369029213
1995,Connecticut,Oysters,45112559.097748816
1994,Connecticut,Oysters,42332519.153349616
1993,Connecticut,Oysters,42052919.15894162
1992,Connecticut,Oysters,53637838.927243225
1991,Connecticut,Oysters,32423399.351532012
1990,Connecticut,Oysters,22799999.54400001
2016,Massachusetts,Oysters,16218575.792259498
2017,Massachusetts,Oysters,20288271.952324614
2015,Massachusetts,Oysters,15691896.98425107
2014,Massachusetts,Oysters,13613094.09621781
2011,Massachusetts,Oysters,4309859.913802802
2010,Massachusetts,Oysters,3740099.925198002
2017,Rhode Island,Oysters,3576245.38405722
2016,Rhode Island,Oysters,3314914.256053039
1990,New York,Oysters,6381839.872363202
1991,New York,Oysters,6667859.866642803
1992,New York,Oysters,7069979.858600403
1993,New York,Oysters,4489019.910219602
1994,New York,Oysters,1008179.9798364005
1995,New York,Oysters,2787779.944244401
1996,New York,Oysters,5687759.886244803
1997,New York,Oysters,4172279.9165544016
1998,New York,Oysters,1835699.9632860008
1999,New York,Oysters,505559.9898888002
2000,New York,Oysters,1108739.9778252004
2001,New York,Oysters,1883999.9623200009
2002,New York,Oysters,3895019.9220996015
2003,New York,Oysters,3519179.9296164014
2004,New York,Oysters,2799839.944003201
2005,New York,Oysters,1658159.9668368008
2006,New York,Oysters,924719.9815056004
2007,New York,Oysters,2029319.9594136009
2008,New York,Oysters,2345399.953092001
2009,New York,Oysters,925259.9814948004
2010,New York,Oysters,1237739.9752452006
2011,New York,Oysters,1324499.9735100006
2012,New York,Oysters,1498259.9700348007
2013,New York,Oysters,3347279.9330544015
2014,New York,Oysters,7107659.857846803
2015,New York,Oysters,3391019.9321796014
2016,New York,Oysters,1816739.9636652009
2017,New York,Oysters,1120019.9775996006
2013,New Hampshire,Oysters,34460.176000551364
2014,New Hampshire,Oysters,65151.84000104243
2015,New Hampshire,Oysters,87778.17600140446
2016,New Hampshire,Oysters,78368.7680012539
2017,New Hampshire,Oysters,139562.144002233
2018,New Hampshire,Oysters,186346.72800298154
2011,Massachusetts,Scallops,525000.0105000002
2010,Massachusetts,Scallops,365260.00730520015
1990,New York,Scallops,0
1991,New York,Scallops,0
1992,New York,Scallops,0
1993,New York,Scallops,0
1994,New York,Scallops,350.00000700000015
1995,New York,Scallops,0
1996,New York,Scallops,0
1997,New York,Scallops,54950.00109900002
1998,New York,Scallops,0
1999,New York,Scallops,0
2000,New York,Scallops,0
2001,New York,Scallops,0
2002,New York,Scallops,0
2003,New York,Scallops,0
2004,New York,Scallops,0
2005,New York,Scallops,1120.0000224000005
2006,New York,Scallops,0
2007,New York,Scallops,0
2008,New York,Scallops,0
2009,New York,Scallops,0
2010,New York,Scallops,0
2011,New York,Scallops,0
2012,New York,Scallops,0
2013,New York,Scallops,14280.000285600006
2014,New York,Scallops,0
2015,New York,Scallops,0
2016,New York,Scallops,0
2017,New York,Scallops,0
2011,Massachusetts,Soft Shell Clams,90750
2010,Massachusetts,Soft Shell Clams,101250
2005,Maine,Blue Mussel,1399508
2006,Maine,Blue Mussel,1163763
2007,Maine,Blue Mussel,1896160
2008,Maine,Blue Mussel,632330
2009,Maine,Blue Mussel,943504
2010,Maine,Blue Mussel,1402608
2011,Maine,Blue Mussel,710879
2012,Maine,Blue Mussel,726879
2013,Maine,Blue Mussel,1419188
2014,Maine,Blue Mussel,1560056
2015,Maine,Blue Mussel,1365593
2016,Maine,Blue Mussel,1604648
2015,Rhode Island,Blue Mussel,15827
2014,Rhode Island,Blue Mussel,15827
2013,Rhode Island,Blue Mussel,6250
2012,Rhode Island,Blue Mussel,1100
2011,Rhode Island,Blue Mussel,3000
1988,Maine,Atlantic Salmon,1000000
1989,Maine,Atlantic Salmon,2000000
1990,Maine,Atlantic Salmon,5000000
1991,Maine,Atlantic Salmon,10032655
1991,Maine,Trout,341930
1992,Maine,Atlantic Salmon,12869732
1992,Maine,Trout,619464
1993,Maine,Atlantic Salmon,14740106
1993,Maine,Trout,741742
1994,Maine,Atlantic Salmon,13511472
1994,Maine,Trout,586060
1995,Maine,Atlantic Salmon,22000651
1995,Maine,Trout,249025
1996,Maine,Atlantic Salmon,22020910
1996,Maine,Trout,72626
1997,Maine,Atlantic Salmon,26706548
1997,Maine,Trout,258295
1998,Maine,Atlantic Salmon,28965124
1998,Maine,Trout,184177
1999,Maine,Atlantic Salmon,26826457
1999,Maine,Trout,171945.7
2000,Maine,Atlantic Salmon,36049476
2000,Maine,Trout,240678
2001,Maine,Atlantic Salmon,29105536
2001,Maine,Trout,0
2002,Maine,Atlantic Salmon,14987837
2002,Maine,Trout,0
2003,Maine,Atlantic Salmon,13243419
2003,Maine,Trout,0
2004,Maine,Atlantic Salmon,18773038
2004,Maine,Trout,0
2005,Maine,Atlantic Salmon,11602436
2005,Maine,Trout,0
2006,Maine,Atlantic Salmon,10303944
2006,Maine,Trout,0
2007,Maine,Atlantic Salmon,8562277
2007,Maine,Trout,0
2008,Maine,Atlantic Salmon,19873323
2008,Maine,Trout,0
2009,Maine,Atlantic Salmon,13559471
2009,Maine,Trout,0
2010,Maine,Atlantic Salmon,24530940
2010,Maine,Trout,0
2011,Maine,Atlantic Salmon,NA
2012,Maine,Atlantic Salmon,NA
2013,Maine,Atlantic Salmon,NA
2014,Maine,Atlantic Salmon,NA
2015,Maine,Atlantic Salmon,NA
2016,Maine,Atlantic Salmon,NA
2017,Maine,Atlantic Salmon,NA
