"","species","rgn_id","rgn_name"
"583","ocean quahog",1,"Offshore"
"584","ocean quahog",2,"Georges Bank"
"585","ocean quahog",3,"Gulf of Maine"
"586","ocean quahog",4,"Mid-Atlantic Bight"
"587","ocean quahog",5,"Connecticut"
"588","ocean quahog",6,"Maine"
"589","ocean quahog",7,"Massachusetts-Gulf of Maine"
"590","ocean quahog",8,"Massachusetts-Virginian"
"591","ocean quahog",10,"New York"
"592","ocean quahog",11,"Rhode Island"
"593","other finfish",1,"Offshore"
"594","other finfish",2,"Georges Bank"
"595","other finfish",3,"Gulf of Maine"
"596","other finfish",4,"Mid-Atlantic Bight"
"597","other finfish",5,"Connecticut"
"598","other finfish",6,"Maine"
"599","other finfish",7,"Massachusetts-Gulf of Maine"
"600","other finfish",8,"Massachusetts-Virginian"
"601","other finfish",9,"New Hampshire"
"602","other finfish",10,"New York"
"603","other finfish",11,"Rhode Island"
"604","perch, white",4,"Mid-Atlantic Bight"
"605","perch, white",5,"Connecticut"
"606","perch, white",10,"New York"
"607","perch, white",11,"Rhode Island"
"608","pollock",1,"Offshore"
"609","pollock",2,"Georges Bank"
"610","pollock",3,"Gulf of Maine"
"611","pollock",4,"Mid-Atlantic Bight"
"612","pollock",5,"Connecticut"
"613","pollock",6,"Maine"
"614","pollock",7,"Massachusetts-Gulf of Maine"
"615","pollock",8,"Massachusetts-Virginian"
"616","pollock",9,"New Hampshire"
"617","pollock",10,"New York"
"618","pollock",11,"Rhode Island"
"619","puffer, northern",4,"Mid-Atlantic Bight"
"620","puffer, northern",5,"Connecticut"
"621","puffer, northern",10,"New York"
"622","puffer, northern",11,"Rhode Island"
"623","redfish / ocean perch",1,"Offshore"
"624","redfish / ocean perch",2,"Georges Bank"
"625","redfish / ocean perch",3,"Gulf of Maine"
"626","redfish / ocean perch",4,"Mid-Atlantic Bight"
"627","redfish / ocean perch",5,"Connecticut"
"628","redfish / ocean perch",6,"Maine"
"629","redfish / ocean perch",7,"Massachusetts-Gulf of Maine"
"630","redfish / ocean perch",8,"Massachusetts-Virginian"
"631","redfish / ocean perch",9,"New Hampshire"
"632","redfish / ocean perch",10,"New York"
"633","redfish / ocean perch",11,"Rhode Island"
"634","scallop, bay",3,"Gulf of Maine"
"635","scallop, bay",6,"Maine"
"636","scallop, sea",1,"Offshore"
"637","scallop, sea",2,"Georges Bank"
"638","scallop, sea",3,"Gulf of Maine"
"639","scallop, sea",4,"Mid-Atlantic Bight"
"640","scallop, sea",5,"Connecticut"
"641","scallop, sea",6,"Maine"
"642","scallop, sea",7,"Massachusetts-Gulf of Maine"
"643","scallop, sea",8,"Massachusetts-Virginian"
"644","scallop, sea",9,"New Hampshire"
"645","scallop, sea",10,"New York"
"646","scallop, sea",11,"Rhode Island"
"647","scallops/shells",1,"Offshore"
"648","scallops/shells",2,"Georges Bank"
"649","scallops/shells",3,"Gulf of Maine"
"650","scallops/shells",4,"Mid-Atlantic Bight"
"651","scallops/shells",6,"Maine"
"652","scallops/shells",7,"Massachusetts-Gulf of Maine"
"653","scallops/shells",8,"Massachusetts-Virginian"
"654","scallops/shells",9,"New Hampshire"
"655","scallops/shells",10,"New York"
"656","scallops/shells",11,"Rhode Island"
"657","sculpins",1,"Offshore"
"658","sculpins",2,"Georges Bank"
"659","sculpins",3,"Gulf of Maine"
"660","sculpins",4,"Mid-Atlantic Bight"
"661","sculpins",5,"Connecticut"
"662","sculpins",6,"Maine"
"663","sculpins",7,"Massachusetts-Gulf of Maine"
"664","sculpins",8,"Massachusetts-Virginian"
"665","sculpins",9,"New Hampshire"
"666","sculpins",10,"New York"
"667","sculpins",11,"Rhode Island"
"668","scup / porgy",1,"Offshore"
"669","scup / porgy",2,"Georges Bank"
"670","scup / porgy",3,"Gulf of Maine"
"671","scup / porgy",4,"Mid-Atlantic Bight"
"672","scup / porgy",5,"Connecticut"
"673","scup / porgy",6,"Maine"
"674","scup / porgy",7,"Massachusetts-Gulf of Maine"
"675","scup / porgy",8,"Massachusetts-Virginian"
"676","scup / porgy",9,"New Hampshire"
"677","scup / porgy",10,"New York"
"678","scup / porgy",11,"Rhode Island"
"679","sea raven",1,"Offshore"
"680","sea raven",2,"Georges Bank"
"681","sea raven",3,"Gulf of Maine"
"682","sea raven",4,"Mid-Atlantic Bight"
"683","sea raven",5,"Connecticut"
"684","sea raven",6,"Maine"
"685","sea raven",7,"Massachusetts-Gulf of Maine"
"686","sea raven",8,"Massachusetts-Virginian"
"687","sea raven",9,"New Hampshire"
"688","sea raven",10,"New York"
"689","sea raven",11,"Rhode Island"
"690","sea robins",1,"Offshore"
"691","sea robins",2,"Georges Bank"
"692","sea robins",3,"Gulf of Maine"
"693","sea robins",4,"Mid-Atlantic Bight"
"694","sea robins",5,"Connecticut"
"695","sea robins",6,"Maine"
"696","sea robins",7,"Massachusetts-Gulf of Maine"
"697","sea robins",8,"Massachusetts-Virginian"
"698","sea robins",9,"New Hampshire"
"699","sea robins",10,"New York"
"700","sea robins",11,"Rhode Island"
"701","sea urchins",3,"Gulf of Maine"
"702","sea urchins",6,"Maine"
"703","seatrout, species not specified",1,"Offshore"
"704","seatrout, species not specified",2,"Georges Bank"
"705","seatrout, species not specified",4,"Mid-Atlantic Bight"
"706","seatrout, species not specified",5,"Connecticut"
"707","seatrout, species not specified",8,"Massachusetts-Virginian"
"708","seatrout, species not specified",10,"New York"
"709","seatrout, species not specified",11,"Rhode Island"
"710","shad, american",1,"Offshore"
"711","shad, american",2,"Georges Bank"
"712","shad, american",3,"Gulf of Maine"
"713","shad, american",4,"Mid-Atlantic Bight"
"714","shad, american",5,"Connecticut"
"715","shad, american",6,"Maine"
"716","shad, american",7,"Massachusetts-Gulf of Maine"
"717","shad, american",8,"Massachusetts-Virginian"
"718","shad, american",9,"New Hampshire"
"719","shad, american",10,"New York"
"720","shad, american",11,"Rhode Island"
"721","shad, gizzard",4,"Mid-Atlantic Bight"
"722","shad, gizzard",5,"Connecticut"
"723","shad, gizzard",10,"New York"
"724","shad, gizzard",11,"Rhode Island"
"725","shad, hickory",4,"Mid-Atlantic Bight"
"726","shad, hickory",5,"Connecticut"
"727","shad, hickory",10,"New York"
"728","shad, hickory",11,"Rhode Island"
"729","shark, basking",1,"Offshore"
"730","shark, basking",2,"Georges Bank"
"731","shark, basking",3,"Gulf of Maine"
"732","shark, basking",4,"Mid-Atlantic Bight"
"733","shark, blue",1,"Offshore"
"734","shark, blue",2,"Georges Bank"
"735","shark, blue",3,"Gulf of Maine"
"736","shark, blue",4,"Mid-Atlantic Bight"
"737","shark, blue",6,"Maine"
"738","shark, blue",7,"Massachusetts-Gulf of Maine"
"739","shark, blue",8,"Massachusetts-Virginian"
"740","shark, blue",9,"New Hampshire"
"741","shark, blue",10,"New York"
"742","shark, mako, shortfin",1,"Offshore"
"743","shark, mako, shortfin",2,"Georges Bank"
"744","shark, mako, shortfin",4,"Mid-Atlantic Bight"
"745","shark, mako, shortfin",8,"Massachusetts-Virginian"
"746","shark, mako, species not specified",3,"Gulf of Maine"
"747","shark, mako, species not specified",6,"Maine"
"748","shark, mako, species not specified",7,"Massachusetts-Gulf of Maine"
"749","shark, mako, species not specified",9,"New Hampshire"
"750","shark, porbeagle",1,"Offshore"
"751","shark, porbeagle",2,"Georges Bank"
"752","shark, porbeagle",3,"Gulf of Maine"
"753","shark, porbeagle",4,"Mid-Atlantic Bight"
"754","shark, porbeagle",6,"Maine"
"755","shark, porbeagle",7,"Massachusetts-Gulf of Maine"
"756","shark, porbeagle",8,"Massachusetts-Virginian"
"757","shark, porbeagle",9,"New Hampshire"
"758","shark, sandbar",1,"Offshore"
"759","shark, sandbar",2,"Georges Bank"
"760","shark, sandbar",4,"Mid-Atlantic Bight"
"761","shark, sandbar",5,"Connecticut"
"762","shark, sandbar",8,"Massachusetts-Virginian"
"763","shark, sandbar",10,"New York"
"764","shark, sandbar",11,"Rhode Island"
"765","shark, thresher",1,"Offshore"
"766","shark, thresher",2,"Georges Bank"
"767","shark, thresher",3,"Gulf of Maine"
"768","shark, thresher",4,"Mid-Atlantic Bight"
"769","shark, thresher",6,"Maine"
"770","shark, thresher",7,"Massachusetts-Gulf of Maine"
"771","shark, thresher",8,"Massachusetts-Virginian"
"772","shark, thresher",9,"New Hampshire"
"773","shark, thresher",10,"New York"
"774","shark, thresher",11,"Rhode Island"
"775","shrimp (mantis)",4,"Mid-Atlantic Bight"
"776","shrimp (mantis)",5,"Connecticut"
"777","shrimp (mantis)",10,"New York"
"778","shrimp (mantis)",11,"Rhode Island"
"779","shrimp (panaeid)",3,"Gulf of Maine"
"780","shrimp (panaeid)",6,"Maine"
"781","shrimp (panaeid)",7,"Massachusetts-Gulf of Maine"
"782","shrimp (panaeid)",9,"New Hampshire"
"783","shrimp (pandalid)",1,"Offshore"
"784","shrimp (pandalid)",2,"Georges Bank"
"785","shrimp (pandalid)",3,"Gulf of Maine"
"786","shrimp (pandalid)",4,"Mid-Atlantic Bight"
"787","shrimp (pandalid)",5,"Connecticut"
"788","shrimp (pandalid)",6,"Maine"
"789","shrimp (pandalid)",7,"Massachusetts-Gulf of Maine"
"790","shrimp (pandalid)",8,"Massachusetts-Virginian"
"791","shrimp (pandalid)",9,"New Hampshire"
"792","shrimp (pandalid)",10,"New York"
"793","shrimp (pandalid)",11,"Rhode Island"
"794","shrimp, species not specified",3,"Gulf of Maine"
"795","shrimp, species not specified",6,"Maine"
"796","shrimp, species not specified",7,"Massachusetts-Gulf of Maine"
"797","shrimp, species not specified",9,"New Hampshire"
"798","silversides, atlantic",4,"Mid-Atlantic Bight"
"799","silversides, atlantic",5,"Connecticut"
"800","silversides, atlantic",10,"New York"
"801","silversides, atlantic",11,"Rhode Island"
"802","skate wings",1,"Offshore"
"803","skate wings",2,"Georges Bank"
"804","skate wings",3,"Gulf of Maine"
"805","skate wings",4,"Mid-Atlantic Bight"
"806","skate wings",5,"Connecticut"
"807","skate wings",6,"Maine"
"808","skate wings",7,"Massachusetts-Gulf of Maine"
"809","skate wings",8,"Massachusetts-Virginian"
"810","skate wings",9,"New Hampshire"
"811","skate wings",10,"New York"
"812","skate wings",11,"Rhode Island"
"813","skate wings, barndoor",1,"Offshore"
"814","skate wings, barndoor",2,"Georges Bank"
"815","skate wings, barndoor",3,"Gulf of Maine"
"816","skate wings, barndoor",4,"Mid-Atlantic Bight"
"817","skate wings, barndoor",7,"Massachusetts-Gulf of Maine"
"818","skate wings, barndoor",8,"Massachusetts-Virginian"
"819","skate wings, little (summer)",1,"Offshore"
"820","skate wings, little (summer)",2,"Georges Bank"
"821","skate wings, little (summer)",4,"Mid-Atlantic Bight"
"822","skate wings, little (summer)",5,"Connecticut"
"823","skate wings, little (summer)",8,"Massachusetts-Virginian"
"824","skate wings, little (summer)",10,"New York"
"825","skate wings, little (summer)",11,"Rhode Island"
"826","skate wings, little/winter mixed",1,"Offshore"
"827","skate wings, little/winter mixed",2,"Georges Bank"
"828","skate wings, little/winter mixed",3,"Gulf of Maine"
"829","skate wings, little/winter mixed",4,"Mid-Atlantic Bight"
"830","skate wings, little/winter mixed",5,"Connecticut"
"831","skate wings, little/winter mixed",7,"Massachusetts-Gulf of Maine"
"832","skate wings, little/winter mixed",8,"Massachusetts-Virginian"
"833","skate wings, little/winter mixed",10,"New York"
"834","skate wings, little/winter mixed",11,"Rhode Island"
"835","skate wings, smooth",1,"Offshore"
"836","skate wings, smooth",2,"Georges Bank"
"837","skate wings, smooth",4,"Mid-Atlantic Bight"
"838","skate wings, smooth",8,"Massachusetts-Virginian"
"839","skate wings, smooth",10,"New York"
"840","skate wings, thorny",1,"Offshore"
"841","skate wings, thorny",2,"Georges Bank"
"842","skate wings, thorny",4,"Mid-Atlantic Bight"
"843","skate wings, thorny",8,"Massachusetts-Virginian"
"844","skate wings, winter (big)",1,"Offshore"
"845","skate wings, winter (big)",2,"Georges Bank"
"846","skate wings, winter (big)",3,"Gulf of Maine"
"847","skate wings, winter (big)",4,"Mid-Atlantic Bight"
"848","skate wings, winter (big)",5,"Connecticut"
"849","skate wings, winter (big)",6,"Maine"
"850","skate wings, winter (big)",7,"Massachusetts-Gulf of Maine"
"851","skate wings, winter (big)",8,"Massachusetts-Virginian"
"852","skate wings, winter (big)",9,"New Hampshire"
"853","skate wings, winter (big)",10,"New York"
"854","skate wings, winter (big)",11,"Rhode Island"
"855","skate, barndoor",1,"Offshore"
"856","skate, barndoor",2,"Georges Bank"
"857","skate, barndoor",3,"Gulf of Maine"
"858","skate, barndoor",4,"Mid-Atlantic Bight"
"859","skate, barndoor",5,"Connecticut"
"860","skate, barndoor",6,"Maine"
"861","skate, barndoor",7,"Massachusetts-Gulf of Maine"
"862","skate, barndoor",8,"Massachusetts-Virginian"
"863","skate, barndoor",9,"New Hampshire"
"864","skate, barndoor",10,"New York"
"865","skate, barndoor",11,"Rhode Island"
"866","skate, clearnose",2,"Georges Bank"
"867","skate, clearnose",4,"Mid-Atlantic Bight"
"868","skate, clearnose",5,"Connecticut"
"869","skate, clearnose",8,"Massachusetts-Virginian"
"870","skate, clearnose",10,"New York"
"871","skate, clearnose",11,"Rhode Island"
"872","skate, little (summer)",1,"Offshore"
"873","skate, little (summer)",2,"Georges Bank"
"874","skate, little (summer)",3,"Gulf of Maine"
"875","skate, little (summer)",4,"Mid-Atlantic Bight"
"876","skate, little (summer)",5,"Connecticut"
"877","skate, little (summer)",7,"Massachusetts-Gulf of Maine"
"878","skate, little (summer)",8,"Massachusetts-Virginian"
"879","skate, little (summer)",10,"New York"
"880","skate, little (summer)",11,"Rhode Island"
"881","skate, little/winter mixed",1,"Offshore"
"882","skate, little/winter mixed",2,"Georges Bank"
"883","skate, little/winter mixed",3,"Gulf of Maine"
"884","skate, little/winter mixed",4,"Mid-Atlantic Bight"
"885","skate, little/winter mixed",5,"Connecticut"
"886","skate, little/winter mixed",6,"Maine"
"887","skate, little/winter mixed",7,"Massachusetts-Gulf of Maine"
"888","skate, little/winter mixed",8,"Massachusetts-Virginian"
"889","skate, little/winter mixed",9,"New Hampshire"
"890","skate, little/winter mixed",10,"New York"
"891","skate, little/winter mixed",11,"Rhode Island"
"892","skate, smooth",3,"Gulf of Maine"
"893","skate, smooth",4,"Mid-Atlantic Bight"
"894","skate, smooth",7,"Massachusetts-Gulf of Maine"
"895","skate, smooth",10,"New York"
"896","skate, thorny",2,"Georges Bank"
"897","skate, thorny",3,"Gulf of Maine"
"898","skate, thorny",6,"Maine"
"899","skate, thorny",7,"Massachusetts-Gulf of Maine"
"900","skate, thorny",8,"Massachusetts-Virginian"
"901","skate, thorny",9,"New Hampshire"
"902","skate, unclassified",1,"Offshore"
"903","skate, unclassified",2,"Georges Bank"
"904","skate, unclassified",3,"Gulf of Maine"
"905","skate, unclassified",4,"Mid-Atlantic Bight"
"906","skate, unclassified",5,"Connecticut"
"907","skate, unclassified",6,"Maine"
"908","skate, unclassified",7,"Massachusetts-Gulf of Maine"
"909","skate, unclassified",8,"Massachusetts-Virginian"
"910","skate, unclassified",9,"New Hampshire"
"911","skate, unclassified",10,"New York"
"912","skate, unclassified",11,"Rhode Island"
"913","skate, winter (big)",1,"Offshore"
"914","skate, winter (big)",2,"Georges Bank"
"915","skate, winter (big)",3,"Gulf of Maine"
"916","skate, winter (big)",4,"Mid-Atlantic Bight"
"917","skate, winter (big)",5,"Connecticut"
"918","skate, winter (big)",6,"Maine"
"919","skate, winter (big)",7,"Massachusetts-Gulf of Maine"
"920","skate, winter (big)",8,"Massachusetts-Virginian"
"921","skate, winter (big)",9,"New Hampshire"
"922","skate, winter (big)",10,"New York"
"923","skate, winter (big)",11,"Rhode Island"
"924","smelt",3,"Gulf of Maine"
"925","smelt",7,"Massachusetts-Gulf of Maine"
"926","spot",1,"Offshore"
"927","spot",2,"Georges Bank"
"928","spot",4,"Mid-Atlantic Bight"
"929","spot",5,"Connecticut"
"930","spot",8,"Massachusetts-Virginian"
"931","spot",10,"New York"
"932","spot",11,"Rhode Island"
"933","squid / illex",1,"Offshore"
"934","squid / illex",2,"Georges Bank"
"935","squid / illex",3,"Gulf of Maine"
"936","squid / illex",4,"Mid-Atlantic Bight"
"937","squid / illex",5,"Connecticut"
"938","squid / illex",6,"Maine"
"939","squid / illex",7,"Massachusetts-Gulf of Maine"
"940","squid / illex",8,"Massachusetts-Virginian"
"941","squid / illex",9,"New Hampshire"
"942","squid / illex",10,"New York"
"943","squid / illex",11,"Rhode Island"
"944","squid / loligo",1,"Offshore"
"945","squid / loligo",2,"Georges Bank"
"946","squid / loligo",3,"Gulf of Maine"
"947","squid / loligo",4,"Mid-Atlantic Bight"
"948","squid / loligo",5,"Connecticut"
"949","squid / loligo",6,"Maine"
"950","squid / loligo",7,"Massachusetts-Gulf of Maine"
"951","squid / loligo",8,"Massachusetts-Virginian"
"952","squid / loligo",9,"New Hampshire"
"953","squid / loligo",10,"New York"
"954","squid / loligo",11,"Rhode Island"
"955","squid, species not specified",4,"Mid-Atlantic Bight"
"956","squid, species not specified",5,"Connecticut"
"957","squid, species not specified",10,"New York"
"958","squid, species not specified",11,"Rhode Island"
"959","striped bass",1,"Offshore"
"960","striped bass",2,"Georges Bank"
"961","striped bass",3,"Gulf of Maine"
"962","striped bass",4,"Mid-Atlantic Bight"
"963","striped bass",5,"Connecticut"
"964","striped bass",6,"Maine"
"965","striped bass",7,"Massachusetts-Gulf of Maine"
"966","striped bass",8,"Massachusetts-Virginian"
"967","striped bass",9,"New Hampshire"
"968","striped bass",10,"New York"
"969","striped bass",11,"Rhode Island"
"970","sturgeon, atlantic",3,"Gulf of Maine"
"971","sturgeon, atlantic",4,"Mid-Atlantic Bight"
"972","sturgeon, atlantic",5,"Connecticut"
"973","sturgeon, atlantic",7,"Massachusetts-Gulf of Maine"
"974","sturgeon, atlantic",8,"Massachusetts-Virginian"
"975","sturgeon, atlantic",10,"New York"
"976","sturgeon, atlantic",11,"Rhode Island"
"977","swordfish",1,"Offshore"
"978","swordfish",2,"Georges Bank"
"979","swordfish",4,"Mid-Atlantic Bight"
"980","swordfish",8,"Massachusetts-Virginian"
"981","tautog",1,"Offshore"
"982","tautog",2,"Georges Bank"
"983","tautog",3,"Gulf of Maine"
"984","tautog",4,"Mid-Atlantic Bight"
"985","tautog",5,"Connecticut"
"986","tautog",6,"Maine"
"987","tautog",7,"Massachusetts-Gulf of Maine"
"988","tautog",8,"Massachusetts-Virginian"
"989","tautog",9,"New Hampshire"
"990","tautog",10,"New York"
"991","tautog",11,"Rhode Island"
"992","tilefish",1,"Offshore"
"993","tilefish",2,"Georges Bank"
"994","tilefish",4,"Mid-Atlantic Bight"
"995","tilefish",8,"Massachusetts-Virginian"
"996","tilefish, blueline",1,"Offshore"
"997","tilefish, blueline",2,"Georges Bank"
"998","tilefish, blueline",4,"Mid-Atlantic Bight"
"999","tilefish, blueline",8,"Massachusetts-Virginian"
"1000","tilefish, golden",1,"Offshore"
"1001","tilefish, golden",2,"Georges Bank"
"1002","tilefish, golden",3,"Gulf of Maine"
"1003","tilefish, golden",4,"Mid-Atlantic Bight"
"1004","tilefish, golden",5,"Connecticut"
"1005","tilefish, golden",7,"Massachusetts-Gulf of Maine"
"1006","tilefish, golden",8,"Massachusetts-Virginian"
"1007","tilefish, golden",10,"New York"
"1008","tilefish, golden",11,"Rhode Island"
"1009","toadfish, oyster",4,"Mid-Atlantic Bight"
"1010","toadfish, oyster",5,"Connecticut"
"1011","toadfish, oyster",10,"New York"
"1012","toadfish, oyster",11,"Rhode Island"
"1013","triggerfish",1,"Offshore"
"1014","triggerfish",2,"Georges Bank"
"1015","triggerfish",4,"Mid-Atlantic Bight"
"1016","triggerfish",5,"Connecticut"
"1017","triggerfish",8,"Massachusetts-Virginian"
"1018","triggerfish",10,"New York"
"1019","triggerfish",11,"Rhode Island"
"1020","tuna, albacore",1,"Offshore"
"1021","tuna, albacore",2,"Georges Bank"
"1022","tuna, albacore",3,"Gulf of Maine"
"1023","tuna, albacore",4,"Mid-Atlantic Bight"
"1024","tuna, albacore",5,"Connecticut"
"1025","tuna, albacore",6,"Maine"
"1026","tuna, albacore",7,"Massachusetts-Gulf of Maine"
"1027","tuna, albacore",8,"Massachusetts-Virginian"
"1028","tuna, albacore",9,"New Hampshire"
"1029","tuna, albacore",10,"New York"
"1030","tuna, albacore",11,"Rhode Island"
"1031","tuna, big eye",1,"Offshore"
"1032","tuna, big eye",2,"Georges Bank"
"1033","tuna, big eye",4,"Mid-Atlantic Bight"
"1034","tuna, big eye",8,"Massachusetts-Virginian"
"1035","tuna, bluefin",1,"Offshore"
"1036","tuna, bluefin",2,"Georges Bank"
"1037","tuna, bluefin",3,"Gulf of Maine"
"1038","tuna, bluefin",4,"Mid-Atlantic Bight"
"1039","tuna, bluefin",6,"Maine"
"1040","tuna, bluefin",7,"Massachusetts-Gulf of Maine"
"1041","tuna, bluefin",8,"Massachusetts-Virginian"
"1042","tuna, bluefin",9,"New Hampshire"
"1043","tuna, bluefin",11,"Rhode Island"
"1044","tuna, little",1,"Offshore"
"1045","tuna, little",2,"Georges Bank"
"1046","tuna, little",4,"Mid-Atlantic Bight"
"1047","tuna, little",5,"Connecticut"
"1048","tuna, little",8,"Massachusetts-Virginian"
"1049","tuna, little",10,"New York"
"1050","tuna, little",11,"Rhode Island"
"1051","tuna, skipjack",1,"Offshore"
"1052","tuna, skipjack",2,"Georges Bank"
"1053","tuna, skipjack",4,"Mid-Atlantic Bight"
"1054","tuna, skipjack",8,"Massachusetts-Virginian"
"1055","tuna, skipjack",10,"New York"
"1056","tuna, skipjack",11,"Rhode Island"
"1057","tuna, yellowfin",1,"Offshore"
"1058","tuna, yellowfin",2,"Georges Bank"
"1059","tuna, yellowfin",3,"Gulf of Maine"
"1060","tuna, yellowfin",4,"Mid-Atlantic Bight"
"1061","tuna, yellowfin",5,"Connecticut"
"1062","tuna, yellowfin",7,"Massachusetts-Gulf of Maine"
"1063","tuna, yellowfin",8,"Massachusetts-Virginian"
"1064","tuna, yellowfin",10,"New York"
"1065","tuna, yellowfin",11,"Rhode Island"
"1066","wahoo",1,"Offshore"
"1067","wahoo",2,"Georges Bank"
"1068","wahoo",4,"Mid-Atlantic Bight"
"1069","wahoo",8,"Massachusetts-Virginian"
"1070","weakfish / squeteague / gray sea trout",1,"Offshore"
"1071","weakfish / squeteague / gray sea trout",2,"Georges Bank"
"1072","weakfish / squeteague / gray sea trout",4,"Mid-Atlantic Bight"
"1073","weakfish / squeteague / gray sea trout",5,"Connecticut"
"1074","weakfish / squeteague / gray sea trout",8,"Massachusetts-Virginian"
"1075","weakfish / squeteague / gray sea trout",10,"New York"
"1076","weakfish / squeteague / gray sea trout",11,"Rhode Island"
"1077","weakfish, spotted / spotted sea trout",1,"Offshore"
"1078","weakfish, spotted / spotted sea trout",2,"Georges Bank"
"1079","weakfish, spotted / spotted sea trout",4,"Mid-Atlantic Bight"
"1080","weakfish, spotted / spotted sea trout",5,"Connecticut"
"1081","weakfish, spotted / spotted sea trout",8,"Massachusetts-Virginian"
"1082","weakfish, spotted / spotted sea trout",10,"New York"
"1083","weakfish, spotted / spotted sea trout",11,"Rhode Island"
"1084","whelk / conch, species not specified",1,"Offshore"
"1085","whelk / conch, species not specified",2,"Georges Bank"
"1086","whelk / conch, species not specified",3,"Gulf of Maine"
"1087","whelk / conch, species not specified",4,"Mid-Atlantic Bight"
"1088","whelk / conch, species not specified",5,"Connecticut"
"1089","whelk / conch, species not specified",7,"Massachusetts-Gulf of Maine"
"1090","whelk / conch, species not specified",8,"Massachusetts-Virginian"
"1091","whelk / conch, species not specified",10,"New York"
"1092","whelk / conch, species not specified",11,"Rhode Island"
"1093","whelk, channeled",1,"Offshore"
"1094","whelk, channeled",2,"Georges Bank"
"1095","whelk, channeled",3,"Gulf of Maine"
"1096","whelk, channeled",4,"Mid-Atlantic Bight"
"1097","whelk, channeled",5,"Connecticut"
"1098","whelk, channeled",7,"Massachusetts-Gulf of Maine"
"1099","whelk, channeled",8,"Massachusetts-Virginian"
"1100","whelk, channeled",10,"New York"
"1101","whelk, channeled",11,"Rhode Island"
"1102","whelk, knobbed",1,"Offshore"
"1103","whelk, knobbed",2,"Georges Bank"
"1104","whelk, knobbed",3,"Gulf of Maine"
"1105","whelk, knobbed",4,"Mid-Atlantic Bight"
"1106","whelk, knobbed",5,"Connecticut"
"1107","whelk, knobbed",7,"Massachusetts-Gulf of Maine"
"1108","whelk, knobbed",8,"Massachusetts-Virginian"
"1109","whelk, knobbed",10,"New York"
"1110","whelk, knobbed",11,"Rhode Island"
"1111","whelk, lightning",2,"Georges Bank"
"1112","whelk, lightning",3,"Gulf of Maine"
"1113","whelk, lightning",4,"Mid-Atlantic Bight"
"1114","whelk, lightning",5,"Connecticut"
"1115","whelk, lightning",7,"Massachusetts-Gulf of Maine"
"1116","whelk, lightning",8,"Massachusetts-Virginian"
"1117","whelk, lightning",10,"New York"
"1118","whelk, lightning",11,"Rhode Island"
"1119","whiting, black",1,"Offshore"
"1120","whiting, black",2,"Georges Bank"
"1121","whiting, black",3,"Gulf of Maine"
"1122","whiting, black",4,"Mid-Atlantic Bight"
"1123","whiting, black",5,"Connecticut"
"1124","whiting, black",7,"Massachusetts-Gulf of Maine"
"1125","whiting, black",8,"Massachusetts-Virginian"
"1126","whiting, black",10,"New York"
"1127","whiting, black",11,"Rhode Island"
"1128","whiting, king / kingfish",1,"Offshore"
"1129","whiting, king / kingfish",2,"Georges Bank"
"1130","whiting, king / kingfish",3,"Gulf of Maine"
"1131","whiting, king / kingfish",4,"Mid-Atlantic Bight"
"1132","whiting, king / kingfish",5,"Connecticut"
"1133","whiting, king / kingfish",7,"Massachusetts-Gulf of Maine"
"1134","whiting, king / kingfish",8,"Massachusetts-Virginian"
"1135","whiting, king / kingfish",10,"New York"
"1136","whiting, king / kingfish",11,"Rhode Island"
"1137","wolffish / ocean catfish",1,"Offshore"
"1138","wolffish / ocean catfish",2,"Georges Bank"
"1139","wolffish / ocean catfish",3,"Gulf of Maine"
"1140","wolffish / ocean catfish",4,"Mid-Atlantic Bight"
"1141","wolffish / ocean catfish",6,"Maine"
"1142","wolffish / ocean catfish",7,"Massachusetts-Gulf of Maine"
"1143","wolffish / ocean catfish",8,"Massachusetts-Virginian"
"1144","wolffish / ocean catfish",9,"New Hampshire"
"1145","wolffish / ocean catfish",10,"New York"
"1146","wolffish / ocean catfish",11,"Rhode Island"
